train_dataset,test_dataset,winner_by_macro_f1,macro_f1_gap,winner_by_positive_f1,positive_f1_gap,winner_by_positive_recall,positive_recall_gap,mbert_macro_f1,muril_macro_f1,mbert_positive_f1,muril_positive_f1,mbert_positive_recall,muril_positive_recall
kaggle_hinglish_hate,kaggle_hinglish_hate,mbert,0.09000639901441954,mbert,0.1653605982129845,mbert,0.16353887399463798,0.6556482225485578,0.5656418235341383,0.5133689839572193,0.3480083857442348,0.3860589812332439,0.2225201072386059
kaggle_hinglish_hate,cm_splits_codemixed,mbert,0.009631014528900694,mbert,0.04662064702246038,mbert,0.054421768707483,0.5138543285684753,0.5042233140395747,0.2748815165876777,0.2282608695652173,0.1972789115646258,0.1428571428571428
kaggle_hinglish_hate,thar_religion,mbert,0.037836022924662815,mbert,0.09753945820678031,mbert,0.076076993583868,0.4475367667275626,0.4097007438028998,0.2399445214979195,0.1424050632911392,0.1585701191567369,0.0824931255728689
cm_splits_codemixed,kaggle_hinglish_hate,muril,0.017214875657865947,muril,0.009275721494890699,mbert,0.0026809651474531404,0.5164358165320784,0.5336506921899443,0.4516908212560386,0.4609665427509293,0.5013404825737265,0.4986595174262734
cm_splits_codemixed,cm_splits_codemixed,mbert,0.03471230895104693,mbert,0.06578091872791514,mbert,0.13605442176870752,0.7828502399855297,0.7481379310344828,0.7137809187279152,0.648,0.6870748299319728,0.5510204081632653
cm_splits_codemixed,thar_religion,muril,0.013851195798447291,muril,0.07210309798298009,muril,0.14848762603116406,0.5830434500287565,0.5968946458272038,0.510482180293501,0.5825852782764811,0.4463794683776352,0.5948670944087993
thar_religion,kaggle_hinglish_hate,muril,0.006278659503810624,muril,0.022103176277048997,muril,0.026809651474530793,0.4554650950847561,0.4617437545885667,0.2549668874172185,0.2770700636942675,0.2064343163538874,0.2332439678284182
thar_religion,cm_splits_codemixed,muril,0.05272057615705439,muril,0.0931723275793282,muril,0.12925170068027214,0.5984302763143747,0.6511508524714291,0.4503816793893129,0.5435540069686411,0.4013605442176871,0.5306122448979592
thar_religion,thar_religion,muril,0.030692675244759493,muril,0.029680817921776348,muril,0.025664527956003602,0.748003589827024,0.7786962650717835,0.7445127304653204,0.7741935483870968,0.7772685609532539,0.8029330889092575
