model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,kaggle_hinglish_hate,transformer_trained_on_kaggle_hinglish_hate,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,2.159862665272257,0.7144351464435147,0.7659574468085106,0.3860589812332439,0.5133689839572193,0.7338901817375887,0.6552936415600182,0.6556482225485578,539,44,229,144
muril,Models/muril__train-kaggle_hinglish_hate__seed42__e2,kaggle_hinglish_hate,kaggle_hinglish_hate,transformer_trained_on_kaggle_hinglish_hate,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.6659160125535315,0.6746861924686193,0.7980769230769231,0.2225201072386059,0.3480083857442348,0.7288506681112314,0.5932497620241057,0.5656418235341383,562,21,290,83
mbert,Models/mbert__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,cm_splits_codemixed,transformer_trained_on_cm_splits_codemixed,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.0502820289148516,0.8048192771084337,0.7426470588235294,0.6870748299319728,0.7137809187279152,0.7888862534261016,0.7782389075032998,0.7828502399855297,233,35,46,101
muril,Models/muril__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,cm_splits_codemixed,transformer_trained_on_cm_splits_codemixed,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.7446129518083833,0.7879518072289157,0.7864077669902912,0.5510204081632653,0.648,0.7874346527259148,0.7344654279622296,0.7481379310344828,246,22,66,81
mbert,Models/mbert__train-thar_religion__seed42__e2,thar_religion,thar_religion,transformer_trained_on_thar_religion,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.198831547619319,0.7480519480519481,0.7144060657118787,0.7772685609532539,0.7445127304653204,0.7490106909147105,0.7495858801484891,0.748003589827024,880,339,243,848
muril,Models/muril__train-thar_religion__seed42__e2,thar_religion,thar_religion,transformer_trained_on_thar_religion,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.0117388887441634,0.7787878787878788,0.7474402730375427,0.8029330889092575,0.7741935483870968,0.7792561646382792,0.7800555518377297,0.7786962650717835,923,296,215,876
