train_dataset,train_dataset_label,model,seeds,n_seeds,accuracy_mean,accuracy_std,recall_hate_mean,recall_hate_std,f1_hate_mean,f1_hate_std,f1_macro_mean,f1_macro_std
cm_splits_codemixed,CM Code-mixed,mbert,"7,13,42",3,0.7963836477987422,0.019779474253787902,0.7066666666666667,0.013333333333333308,0.7109556954892642,0.019775966378130706,0.7768494649302028,0.018692415888328335
cm_splits_codemixed,CM Code-mixed,muril,"7,13,42",3,0.7877358490566038,0.01930507729215201,0.6444444444444445,0.08335555259338244,0.6808728442166613,0.037682196997917215,0.7606424599560503,0.022971814533986373
kaggle_hinglish_hate,Kaggle Hinglish Hate,mbert,"7,13,42",3,0.7158298465829848,0.023860686347176578,0.4691689008042896,0.08524457423905976,0.5606777519175244,0.04063048861914725,0.6745554276627955,0.021067194565398184
kaggle_hinglish_hate,Kaggle Hinglish Hate,muril,"7,13,42",3,0.6813110181311018,0.030538439734515314,0.2511170688114388,0.08487841379374658,0.3761790984473416,0.09888646787827168,0.5809368747770919,0.0572346326228065
thar_religion,THAR Religion,mbert,"7,13,42",3,0.7467532467532467,0.0011453468879067145,0.7928505957836847,0.01959446226070758,0.7472495065161472,0.003965403420283794,0.7466880676583073,0.0011748686251208498
thar_religion,THAR Religion,muril,"7,13,42",3,0.7649350649350649,0.012907403909848994,0.7971280171096854,0.005524943880239841,0.7621439126448507,0.011234239280738701,0.7648937705887416,0.012863406369240724
