train_dataset,test_dataset,rows,positive_rows,negative_rows,mbert_accuracy,muril_accuracy,mbert_false_negative_rate,muril_false_negative_rate,mbert_false_positive_rate,muril_false_positive_rate,mbert_error_rate,muril_error_rate
cm_splits_codemixed,cm_splits_codemixed,415,147,268,0.8048192771084337,0.7879518072289157,0.3129251700680272,0.4489795918367347,0.13059701492537312,0.08208955223880597,0.19518072289156627,0.21204819277108433
cm_splits_codemixed,kaggle_hinglish_hate,956,373,583,0.5251046025104602,0.5449790794979079,0.49865951742627346,0.5013404825737265,0.45969125214408235,0.42538593481989706,0.47489539748953974,0.45502092050209203
cm_splits_codemixed,thar_religion,2310,1091,1219,0.5956709956709957,0.5974025974025974,0.5536205316223648,0.40513290559120074,0.27071369975389664,0.4003281378178835,0.4043290043290043,0.4025974025974026
kaggle_hinglish_hate,cm_splits_codemixed,415,147,268,0.6313253012048192,0.6578313253012048,0.8027210884353742,0.8571428571428571,0.13059701492537312,0.05970149253731343,0.3686746987951807,0.3421686746987952
kaggle_hinglish_hate,kaggle_hinglish_hate,956,373,583,0.7144351464435147,0.6746861924686193,0.613941018766756,0.7774798927613941,0.07547169811320754,0.036020583190394515,0.28556485355648537,0.3253138075313807
kaggle_hinglish_hate,thar_religion,2310,1091,1219,0.5255411255411255,0.5307359307359307,0.8414298808432631,0.9175068744271311,0.14602132895816242,0.06808859721082855,0.47445887445887447,0.4692640692640693
thar_religion,cm_splits_codemixed,415,147,268,0.653012048192771,0.6843373493975904,0.5986394557823129,0.46938775510204084,0.208955223880597,0.23134328358208955,0.3469879518072289,0.3156626506024096
thar_religion,kaggle_hinglish_hate,956,373,583,0.5292887029288703,0.5251046025104602,0.7935656836461126,0.7667560321715817,0.2641509433962264,0.2881646655231561,0.4707112970711297,0.47489539748953974
thar_religion,thar_religion,2310,1091,1219,0.7480519480519481,0.7787878787878788,0.2227314390467461,0.19706691109074242,0.2780968006562756,0.2428219852337982,0.2519480519480519,0.22121212121212122
