model,evaluation,train_dataset,test_dataset,condition,accuracy,precision_hate,recall_hate,f1_hate,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
tfidf_logistic_regression,kaggle_hinglish_hate_validation,kaggle_hinglish_hate,kaggle_hinglish_hate_validation_split,tfidf_baseline_80_20_stratified,0.6297071129707112,0.5241730279898219,0.5522788203753352,0.5378590078328982,0.6137739029824776,0.6157620516971015,0.6144792421363443,396,187,167,206
tfidf_logistic_regression,existing_79_row_benchmark,kaggle_hinglish_hate,existing_79_row_benchmark,tfidf_baseline_train_kaggle_hinglish_hate_test_benchmark,0.5443037974683544,0.5454545454545454,0.46153846153846156,0.5,0.5444664031620553,0.5432692307692308,0.5406976744186047,25,15,21,18
tfidf_linear_svm,kaggle_hinglish_hate_validation,kaggle_hinglish_hate,kaggle_hinglish_hate_validation_split,tfidf_baseline_80_20_stratified,0.6286610878661087,0.5241935483870968,0.5227882037533512,0.5234899328859061,0.6096995139195758,0.6095930727171559,0.6096455662715734,406,177,178,195
tfidf_linear_svm,existing_79_row_benchmark,kaggle_hinglish_hate,existing_79_row_benchmark,tfidf_baseline_train_kaggle_hinglish_hate_test_benchmark,0.4177215189873418,0.425531914893617,0.5128205128205128,0.46511627906976744,0.4158909574468085,0.41891025641025637,0.41311369509043927,13,27,19,20
