model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,kaggle_hinglish_hate,transformer_trained_on_mixed_kaggle_plus_thar,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,2.053049207112628,0.7165271966527197,0.6888888888888889,0.49865951742627346,0.578538102643857,0.7081470683511499,0.6772885923323477,0.6824920615662153,499,84,187,186
mbert,Models/mbert__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,cm_splits_codemixed,transformer_trained_on_mixed_kaggle_plus_thar,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.1975050192773473,0.6,0.42016806722689076,0.3401360544217687,0.37593984962406013,0.546232682262094,0.5413366839273023,0.5408068042446541,199,69,97,50
mbert,Models/mbert__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,thar_religion,transformer_trained_on_mixed_kaggle_plus_thar,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.2424720601731316,0.7493506493506493,0.7133333333333334,0.7846012832263978,0.7472719336534265,0.7508108108108109,0.7512013799232891,0.7493336911719257,875,344,235,856
mbert,Models/mbert__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,existing_79_row_benchmark,transformer_trained_on_mixed_kaggle_plus_thar,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0309583417726076,0.46835443037974683,0.2857142857142857,0.05128205128205128,0.08695652173913043,0.3859126984126984,0.46314102564102566,0.3559782608695652,35,5,37,2
muril,Models/muril__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,kaggle_hinglish_hate,transformer_trained_on_mixed_kaggle_plus_thar,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.587196479079725,0.700836820083682,0.6581818181818182,0.48525469168900803,0.558641975308642,0.6881217460953144,0.6620098501326687,0.6661880762619159,489,94,192,181
muril,Models/muril__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,cm_splits_codemixed,transformer_trained_on_mixed_kaggle_plus_thar,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.8143946795178811,0.655421686746988,0.5188679245283019,0.3741496598639456,0.43478260869565216,0.6105666483482933,0.5919255762006295,0.5934744932559717,217,51,92,55
muril,Models/muril__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,thar_religion,transformer_trained_on_mixed_kaggle_plus_thar,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.0175548523810276,0.7649350649350649,0.7362068965517241,0.7827681026581118,0.7587738782763216,0.7650599700149925,0.7658713359886129,0.7647816204382875,913,306,237,854
muril,Models/muril__train-mixed_kaggle_plus_thar__seed42__e2,mixed_kaggle_plus_thar,existing_79_row_benchmark,transformer_trained_on_mixed_kaggle_plus_thar,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0305796455685583,0.5316455696202531,0.75,0.07692307692307693,0.13953488372093023,0.635,0.5259615384615385,0.4088978766430738,39,1,36,3
