model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,kaggle_hinglish_hate,transformer_trained_on_mixed_kaggle_plus_cm,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,2.0367820784504986,0.7290794979079498,0.7544642857142857,0.45308310991957107,0.5661641541038526,0.7378878805620609,0.6793717436390309,0.6846029895994548,528,55,204,169
mbert,Models/mbert__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,cm_splits_codemixed,transformer_trained_on_mixed_kaggle_plus_cm,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.1818652602402824,0.744578313253012,0.6518518518518519,0.5986394557823129,0.624113475177305,0.720568783068783,0.7116331607269774,0.7153414091214991,221,47,59,88
mbert,Models/mbert__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,thar_religion,transformer_trained_on_mixed_kaggle_plus_cm,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.2285886363628284,0.5489177489177489,0.5543237250554324,0.229147571035747,0.324254215304799,0.5509649824846823,0.5321291587746413,0.49286135066734427,1018,201,841,250
mbert,Models/mbert__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,existing_79_row_benchmark,transformer_trained_on_mixed_kaggle_plus_cm,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0540632911330778,0.5443037974683544,1.0,0.07692307692307693,0.14285714285714285,0.763157894736842,0.5384615384615384,0.41625615763546797,40,0,36,3
muril,Models/muril__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,kaggle_hinglish_hate,transformer_trained_on_mixed_kaggle_plus_cm,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.5823723420512446,0.6098326359832636,0.0,0.0,0.0,0.3049163179916318,0.5,0.3788174139051332,583,0,373,0
muril,Models/muril__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,cm_splits_codemixed,transformer_trained_on_mixed_kaggle_plus_cm,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.782217269883623,0.6457831325301204,0.0,0.0,0.0,0.3228915662650602,0.5,0.3923865300146413,268,0,147,0
muril,Models/muril__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,thar_religion,transformer_trained_on_mixed_kaggle_plus_cm,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,1.9967660350642278,0.5277056277056277,0.0,0.0,0.0,0.26385281385281384,0.5,0.345423632757155,1219,0,1091,0
muril,Models/muril__train-mixed_kaggle_plus_cm__seed42__e2,mixed_kaggle_plus_cm,existing_79_row_benchmark,transformer_trained_on_mixed_kaggle_plus_cm,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0168560126393331,0.5063291139240507,0.0,0.0,0.0,0.25316455696202533,0.5,0.33613445378151263,40,0,39,0
