model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,kaggle_hinglish_hate,transformer_trained_on_mixed_cm_plus_thar,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,2.0872800732184897,0.5271966527196653,0.3574007220216607,0.26541554959785524,0.3046153846153846,0.476933056150742,0.48004911270630324,0.4732268682189443,405,178,274,99
mbert,Models/mbert__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,cm_splits_codemixed,transformer_trained_on_mixed_cm_plus_thar,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.2381508048253513,0.7783132530120482,0.6923076923076923,0.673469387755102,0.6827586206896552,0.7579185520361991,0.754645141638745,0.7561941251596425,224,44,48,99
mbert,Models/mbert__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,thar_religion,transformer_trained_on_mixed_cm_plus_thar,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.257837030736254,0.7562770562770563,0.7295652173913043,0.769019248395967,0.7487728692547969,0.7561619190404798,0.7569460474957685,0.7560594064643047,908,311,252,839
mbert,Models/mbert__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,existing_79_row_benchmark,transformer_trained_on_mixed_cm_plus_thar,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0423976834973945,0.45569620253164556,0.25,0.05128205128205128,0.0851063829787234,0.3644366197183099,0.45064102564102565,0.348859497795668,34,6,37,2
muril,Models/muril__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,kaggle_hinglish_hate,transformer_trained_on_mixed_cm_plus_thar,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.606475854600355,0.6098326359832636,0.0,0.0,0.0,0.3049163179916318,0.5,0.3788174139051332,583,0,373,0
muril,Models/muril__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,cm_splits_codemixed,transformer_trained_on_mixed_cm_plus_thar,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.8286198795231687,0.6457831325301204,0.0,0.0,0.0,0.3228915662650602,0.5,0.3923865300146413,268,0,147,0
muril,Models/muril__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,thar_religion,transformer_trained_on_mixed_cm_plus_thar,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.031098069697825,0.5277056277056277,0.0,0.0,0.0,0.26385281385281384,0.5,0.345423632757155,1219,0,1091,0
muril,Models/muril__train-mixed_cm_plus_thar__seed42__e2,mixed_cm_plus_thar,existing_79_row_benchmark,transformer_trained_on_mixed_cm_plus_thar,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.0323728860431067,0.5063291139240507,0.0,0.0,0.0,0.25316455696202533,0.5,0.33613445378151263,40,0,39,0
