model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-mixed_all_three__seed42__e2,mixed_all_three,kaggle_hinglish_hate,transformer_trained_on_mixed_all_three,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,8.455678172593169,0.7280334728033473,0.7325102880658436,0.4772117962466488,0.577922077922078,0.7295090009754184,0.6828597574715234,0.6886523969857303,518,65,195,178
mbert,Models/mbert__train-mixed_all_three__seed42__e2,mixed_all_three,cm_splits_codemixed,transformer_trained_on_mixed_all_three,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,8.590279819274809,0.7734939759036145,0.7054263565891473,0.6190476190476191,0.6594202898550725,0.7548110803924757,0.7386282871357499,0.7448725998011825,230,38,56,91
mbert,Models/mbert__train-mixed_all_three__seed42__e2,mixed_all_three,thar_religion,transformer_trained_on_mixed_all_three,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,7.3773279220774315,0.7406926406926407,0.7173144876325088,0.7442713107241063,0.7305443094916779,0.7402361911846755,0.7408805282086488,0.740324303264821,899,320,279,812
mbert,Models/mbert__train-mixed_all_three__seed42__e2,mixed_all_three,existing_79_row_benchmark,transformer_trained_on_mixed_all_three,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,1.5346714050643133,0.5316455696202531,0.75,0.07692307692307693,0.13953488372093023,0.635,0.5259615384615385,0.4088978766430738,39,1,36,3
muril,Models/muril__train-mixed_all_three__seed42__e2,mixed_all_three,kaggle_hinglish_hate,transformer_trained_on_mixed_all_three,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,4.66506502719514,0.7154811715481172,0.7148936170212766,0.450402144772118,0.5526315789473685,0.715283146929501,0.6677396658680487,0.6720213109460769,516,67,205,168
muril,Models/muril__train-mixed_all_three__seed42__e2,mixed_all_three,cm_splits_codemixed,transformer_trained_on_mixed_all_three,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,4.886426204818663,0.7759036144578313,0.7288135593220338,0.5850340136054422,0.6490566037735849,0.7617131769674143,0.7328155142654076,0.7422274169310402,236,32,61,86
muril,Models/muril__train-mixed_all_three__seed42__e2,mixed_all_three,thar_religion,transformer_trained_on_mixed_all_three,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,5.468816901297922,0.7627705627705628,0.7387862796833773,0.76993583868011,0.7540394973070018,0.7624025175057978,0.7631467544508015,0.7624712536702234,922,297,251,840
muril,Models/muril__train-mixed_all_three__seed42__e2,mixed_all_three,existing_79_row_benchmark,transformer_trained_on_mixed_all_three,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,2.5846413544381384,0.5189873417721519,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.5899122807017544,0.5131410256410256,0.38382594417077176,39,1,37,2
