training_condition,model,threshold_source,selected_threshold,validation_rows,validation_f1_macro,validation_recall_positive,test_dataset,test_rows,leakage_caveat,default_accuracy,default_precision_positive,default_recall_positive,default_f1_positive,default_precision_macro,default_recall_macro,default_f1_macro,default_tn,default_fp,default_fn,default_tp,threshold_accuracy,threshold_precision_positive,threshold_recall_positive,threshold_f1_positive,threshold_precision_macro,threshold_recall_macro,threshold_f1_macro,threshold_tn,threshold_fp,threshold_fn,threshold_tp,macro_f1_delta,positive_recall_delta,positive_f1_delta
kaggle_hinglish_hate,mbert,internal_validation,0.32,956,0.672162689645014,0.5978552278820375,kaggle_hinglish_hate,956,True,0.7144351464435147,0.7659574468085106,0.38605898123324395,0.5133689839572193,0.7338901817375887,0.6552936415600182,0.6556482225485578,539,44,229,144,0.6882845188284519,0.601078167115903,0.5978552278820375,0.5994623655913979,0.6723339553528234,0.6719979398415333,0.672162689645014,435,148,150,223,0.01651446709645621,0.21179624664879354,0.08609338163417857
kaggle_hinglish_hate,mbert,internal_validation,0.32,956,0.672162689645014,0.5978552278820375,cm_splits_codemixed,415,False,0.6313253012048192,0.453125,0.19727891156462585,0.27488151658767773,0.5584713319088319,0.5333409483196263,0.5138543285684753,233,35,118,29,0.5686746987951807,0.4,0.43537414965986393,0.4169381107491857,0.5372549019607844,0.5385825972179916,0.5373409483000231,172,96,83,64,0.023486619731547753,0.23809523809523808,0.14205659416150795
kaggle_hinglish_hate,mbert,internal_validation,0.32,956,0.672162689645014,0.5978552278820375,thar_religion,2310,False,0.5255411255411255,0.4928774928774929,0.15857011915673694,0.23994452149791956,0.5121355305122534,0.5062743950992873,0.44753676672756265,1041,178,918,173,0.5554112554112555,0.5424403183023873,0.3748854262144821,0.443360433604336,0.5520684882000368,0.5459332791449769,0.5366351717571229,874,345,682,409,0.08909840502956029,0.21631530705774518,0.20341591210641646
kaggle_hinglish_hate,muril,internal_validation,0.35,956,0.6456872178434148,0.5201072386058981,kaggle_hinglish_hate,956,True,0.6746861924686193,0.7980769230769231,0.2225201072386059,0.3480083857442348,0.7288506681112314,0.5932497620241057,0.5656418235341383,562,21,290,83,0.6705020920502092,0.5878787878787879,0.5201072386058981,0.5519203413940256,0.6509681479330042,0.6434155404007192,0.6456872178434148,447,136,179,194,0.08004539430927649,0.2975871313672922,0.20391195564979075
kaggle_hinglish_hate,muril,internal_validation,0.35,956,0.6456872178434148,0.5201072386058981,cm_splits_codemixed,415,False,0.6578313253012048,0.5675675675675675,0.14285714285714285,0.22826086956521738,0.617117117117117,0.5415778251599147,0.5042233140395747,252,16,126,21,0.3710843373493976,0.3398876404494382,0.8231292517006803,0.48111332007952284,0.4496048371738716,0.4731317900294446,0.341474091232422,33,235,26,121,-0.16274922280715265,0.6802721088435375,0.2528524505143055
kaggle_hinglish_hate,muril,internal_validation,0.35,956,0.6456872178434148,0.5201072386058981,thar_religion,2310,False,0.5307359307359307,0.5202312138728323,0.08249312557286893,0.14240506329113925,0.5259087749289291,0.5072022641810202,0.4097007438028998,1136,83,1001,90,0.5372294372294373,0.5112016293279023,0.46012832263978004,0.4843222383019778,0.5338387664711801,0.5331814705897834,0.5323063880948444,739,480,589,502,0.12260564429194465,0.3776351970669111,0.3419171750108385
mixed_kaggle_plus_cm,mbert,internal_validation,0.41,1444,0.7506915018154003,0.677007299270073,kaggle_hinglish_hate,956,False,0.7290794979079498,0.7544642857142857,0.45308310991957107,0.5661641541038526,0.7378878805620609,0.6793717436390309,0.6846029895994548,528,55,204,169,0.7269874476987448,0.675,0.579088471849866,0.6233766233766234,0.7140723270440252,0.7003504108820513,0.7046333486038162,479,104,157,216,0.020030359004361453,0.12600536193029493,0.057212469272770794
mixed_kaggle_plus_cm,mbert,internal_validation,0.41,1444,0.7506915018154003,0.677007299270073,cm_splits_codemixed,415,False,0.744578313253012,0.6518518518518519,0.5986394557823129,0.624113475177305,0.720568783068783,0.7116331607269774,0.7153414091214991,221,47,59,88,0.7614457831325301,0.65,0.7074829931972789,0.6775244299674267,0.740686274509804,0.7492638846583409,0.7441159434731971,212,56,43,104,0.028774534351697967,0.108843537414966,0.0534109547901217
mixed_kaggle_plus_cm,mbert,internal_validation,0.41,1444,0.7506915018154003,0.677007299270073,thar_religion,2310,False,0.5489177489177489,0.5543237250554324,0.229147571035747,0.324254215304799,0.5509649824846823,0.5321291587746413,0.49286135066734427,1018,201,841,250,0.5632034632034632,0.56047197640118,0.3483043079743355,0.4296212549462973,0.5624051058476488,0.5519208168255598,0.5378551732465615,921,298,711,380,0.044993822579217246,0.11915673693858847,0.10536703964149835
mixed_kaggle_plus_cm,muril,internal_validation,0.42,1444,0.6186955373646685,0.5164233576642335,kaggle_hinglish_hate,956,False,0.6098326359832636,0.0,0.0,0.0,0.3049163179916318,0.5,0.3788174139051332,583,0,373,0,0.6276150627615062,0.5227882037533512,0.5227882037533512,0.5227882037533512,0.6087354397840512,0.6087354397840512,0.6087354397840512,405,178,178,195,0.22991802587891802,0.5227882037533512,0.5227882037533512
