eval_set,rows,positive_rows,predicted_positive_at_0_50,prob_positive_min,prob_positive_p25,prob_positive_median,prob_positive_p75,prob_positive_p95,prob_positive_max,mean_prob_true_negative,mean_prob_true_positive,default_f1_macro,default_recall_positive,default_f1_positive,best_threshold_by_macro_f1,best_f1_macro,best_recall_positive,best_f1_positive,split_policy,probabilities_file
internal_mixed_validation,1444,548,0,0.3495684862136841,0.36575499922037125,0.39565837383270264,0.4338238835334778,0.4658550530672073,0.4658767580986023,0.39350724732503295,0.4149835670407671,0.38290598290598293,0.0,0.0,0.4200000000000002,0.6186955373646685,0.5164233576642335,0.5231053604436229,stratified_80_20_split_seed42,/Users/ompatnaik/Documents/Code/Hinglish Research/results/collapse_diagnostics/muril_mixed_kaggle_cm__internal_mixed_validation__probabilities.csv
kaggle_hinglish_hate,956,373,0,0.3520156443119049,0.36790306121110916,0.39932428300380707,0.43474267423152924,0.46585754305124283,0.46587008237838745,0.39564233624710227,0.41798090567218077,0.3788174139051332,0.0,0.0,0.4000000000000002,0.6120181496413982,0.6434316353887399,0.5673758865248227,stratified_80_20_split_seed42,/Users/ompatnaik/Documents/Code/Hinglish Research/results/collapse_diagnostics/muril_mixed_kaggle_cm__kaggle_hinglish_hate__probabilities.csv
cm_splits_codemixed,415,147,0,0.3502395749092102,0.36546941101551056,0.39363420009613037,0.4345959722995758,0.46585361659526825,0.4658617377281189,0.3938525253489836,0.4118045523864071,0.3923865300146413,0.0,0.0,0.4300000000000002,0.5923670875371596,0.43537414965986393,0.45878136200716846,provided_test_split,/Users/ompatnaik/Documents/Code/Hinglish Research/results/collapse_diagnostics/muril_mixed_kaggle_cm__cm_splits_codemixed__probabilities.csv
thar_religion,2310,1091,0,0.3500239849090576,0.3612826094031334,0.3706030547618866,0.41906289011240005,0.46585479378700256,0.4659297466278076,0.38463293070965265,0.39480544458716205,0.345423632757155,0.0,0.0,0.38000000000000017,0.5687283479891971,0.46379468377635197,0.5087983911513323,stratified_80_20_split_seed42,/Users/ompatnaik/Documents/Code/Hinglish Research/results/collapse_diagnostics/muril_mixed_kaggle_cm__thar_religion__probabilities.csv
